[2026-08-15T21:15:15.644+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-15T21:15:18.882+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-15T21:08:22.681733+00:00 [queued]>
[2026-08-15T21:15:18.905+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-15T21:08:22.681733+00:00 [queued]>
[2026-08-15T21:15:18.907+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2026-08-15T21:15:18.943+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_bronze> on 2026-08-15 21:08:22.681733+00:00
[2026-08-15T21:15:18.962+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62: DeprecationWarning: This process (pid=144) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2026-08-15T21:15:18.968+0000] {standard_task_runner.py:64} INFO - Started process 146 to run task
[2026-08-15T21:15:18.969+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_ingest', 'load_bronze', 'manual__2026-08-15T21:08:22.681733+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_ingest.py', '--cfg-path', '/tmp/tmpjyfouud9']
[2026-08-15T21:15:18.977+0000] {standard_task_runner.py:91} INFO - Job 16: Subtask load_bronze
[2026-08-15T21:15:19.153+0000] {task_command.py:426} INFO - Running <TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-15T21:08:22.681733+00:00 [running]> on host ***-worker
[2026-08-15T21:15:19.367+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='aadya-anil-kumar' AIRFLOW_CTX_DAG_ID='nyc_taxi_ingest' AIRFLOW_CTX_TASK_ID='load_bronze' AIRFLOW_CTX_EXECUTION_DATE='2026-08-15T21:08:22.681733+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-15T21:08:22.681733+00:00'
[2026-08-15T21:15:19.372+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-15T21:16:12.895+0000] {logging_mixin.py:188} INFO - ✅ Inserted 5000/2964624 rows
[2026-08-15T21:16:13.306+0000] {logging_mixin.py:188} INFO - ✅ Inserted 10000/2964624 rows
[2026-08-15T21:16:13.667+0000] {logging_mixin.py:188} INFO - ✅ Inserted 15000/2964624 rows
[2026-08-15T21:16:14.007+0000] {logging_mixin.py:188} INFO - ✅ Inserted 20000/2964624 rows
[2026-08-15T21:16:14.244+0000] {logging_mixin.py:188} INFO - ✅ Inserted 25000/2964624 rows
[2026-08-15T21:16:14.456+0000] {logging_mixin.py:188} INFO - ✅ Inserted 30000/2964624 rows
[2026-08-15T21:16:14.632+0000] {logging_mixin.py:188} INFO - ✅ Inserted 35000/2964624 rows
[2026-08-15T21:16:14.827+0000] {logging_mixin.py:188} INFO - ✅ Inserted 40000/2964624 rows
[2026-08-15T21:16:15.069+0000] {logging_mixin.py:188} INFO - ✅ Inserted 45000/2964624 rows
[2026-08-15T21:16:15.293+0000] {logging_mixin.py:188} INFO - ✅ Inserted 50000/2964624 rows
[2026-08-15T21:16:15.473+0000] {logging_mixin.py:188} INFO - ✅ Inserted 55000/2964624 rows
[2026-08-15T21:16:15.838+0000] {logging_mixin.py:188} INFO - ✅ Inserted 60000/2964624 rows
[2026-08-15T21:16:16.005+0000] {logging_mixin.py:188} INFO - ✅ Inserted 65000/2964624 rows
[2026-08-15T21:16:16.201+0000] {logging_mixin.py:188} INFO - ✅ Inserted 70000/2964624 rows
[2026-08-15T21:16:16.485+0000] {logging_mixin.py:188} INFO - ✅ Inserted 75000/2964624 rows
[2026-08-15T21:16:16.714+0000] {logging_mixin.py:188} INFO - ✅ Inserted 80000/2964624 rows
[2026-08-15T21:16:17.317+0000] {logging_mixin.py:188} INFO - ✅ Inserted 85000/2964624 rows
[2026-08-15T21:16:17.815+0000] {logging_mixin.py:188} INFO - ✅ Inserted 90000/2964624 rows
[2026-08-15T21:16:18.199+0000] {logging_mixin.py:188} INFO - ✅ Inserted 95000/2964624 rows
[2026-08-15T21:16:18.681+0000] {logging_mixin.py:188} INFO - ✅ Inserted 100000/2964624 rows
[2026-08-15T21:16:19.169+0000] {logging_mixin.py:188} INFO - ✅ Inserted 105000/2964624 rows
[2026-08-15T21:16:19.519+0000] {logging_mixin.py:188} INFO - ✅ Inserted 110000/2964624 rows
[2026-08-15T21:16:19.722+0000] {logging_mixin.py:188} INFO - ✅ Inserted 115000/2964624 rows
[2026-08-15T21:16:19.995+0000] {logging_mixin.py:188} INFO - ✅ Inserted 120000/2964624 rows
[2026-08-15T21:16:20.270+0000] {logging_mixin.py:188} INFO - ✅ Inserted 125000/2964624 rows
[2026-08-15T21:16:20.628+0000] {logging_mixin.py:188} INFO - ✅ Inserted 130000/2964624 rows
[2026-08-15T21:16:20.908+0000] {logging_mixin.py:188} INFO - ✅ Inserted 135000/2964624 rows
[2026-08-15T21:16:21.208+0000] {logging_mixin.py:188} INFO - ✅ Inserted 140000/2964624 rows
[2026-08-15T21:16:21.519+0000] {logging_mixin.py:188} INFO - ✅ Inserted 145000/2964624 rows
[2026-08-15T21:16:21.765+0000] {logging_mixin.py:188} INFO - ✅ Inserted 150000/2964624 rows
[2026-08-15T21:16:21.960+0000] {logging_mixin.py:188} INFO - ✅ Inserted 155000/2964624 rows
[2026-08-15T21:16:22.153+0000] {logging_mixin.py:188} INFO - ✅ Inserted 160000/2964624 rows
[2026-08-15T21:16:22.321+0000] {logging_mixin.py:188} INFO - ✅ Inserted 165000/2964624 rows
[2026-08-15T21:16:22.528+0000] {logging_mixin.py:188} INFO - ✅ Inserted 170000/2964624 rows
[2026-08-15T21:16:22.745+0000] {logging_mixin.py:188} INFO - ✅ Inserted 175000/2964624 rows
[2026-08-15T21:16:22.970+0000] {logging_mixin.py:188} INFO - ✅ Inserted 180000/2964624 rows
[2026-08-15T21:16:23.360+0000] {logging_mixin.py:188} INFO - ✅ Inserted 185000/2964624 rows
[2026-08-15T21:16:23.832+0000] {logging_mixin.py:188} INFO - ✅ Inserted 190000/2964624 rows
[2026-08-15T21:16:24.426+0000] {logging_mixin.py:188} INFO - ✅ Inserted 195000/2964624 rows
[2026-08-15T21:16:25.082+0000] {logging_mixin.py:188} INFO - ✅ Inserted 200000/2964624 rows
[2026-08-15T21:16:25.467+0000] {logging_mixin.py:188} INFO - ✅ Inserted 205000/2964624 rows
[2026-08-15T21:16:25.837+0000] {logging_mixin.py:188} INFO - ✅ Inserted 210000/2964624 rows
[2026-08-15T21:16:26.416+0000] {logging_mixin.py:188} INFO - ✅ Inserted 215000/2964624 rows
[2026-08-15T21:16:26.926+0000] {logging_mixin.py:188} INFO - ✅ Inserted 220000/2964624 rows
[2026-08-15T21:16:27.381+0000] {logging_mixin.py:188} INFO - ✅ Inserted 225000/2964624 rows
[2026-08-15T21:16:27.941+0000] {logging_mixin.py:188} INFO - ✅ Inserted 230000/2964624 rows
[2026-08-15T21:16:28.302+0000] {logging_mixin.py:188} INFO - ✅ Inserted 235000/2964624 rows
[2026-08-15T21:16:28.777+0000] {logging_mixin.py:188} INFO - ✅ Inserted 240000/2964624 rows
[2026-08-15T21:16:29.254+0000] {logging_mixin.py:188} INFO - ✅ Inserted 245000/2964624 rows
[2026-08-15T21:16:29.731+0000] {logging_mixin.py:188} INFO - ✅ Inserted 250000/2964624 rows
[2026-08-15T21:16:30.038+0000] {logging_mixin.py:188} INFO - ✅ Inserted 255000/2964624 rows
[2026-08-15T21:16:30.345+0000] {logging_mixin.py:188} INFO - ✅ Inserted 260000/2964624 rows
[2026-08-15T21:16:30.510+0000] {logging_mixin.py:188} INFO - ✅ Inserted 265000/2964624 rows
[2026-08-15T21:16:30.672+0000] {logging_mixin.py:188} INFO - ✅ Inserted 270000/2964624 rows
[2026-08-15T21:16:30.936+0000] {logging_mixin.py:188} INFO - ✅ Inserted 275000/2964624 rows
[2026-08-15T21:16:31.215+0000] {logging_mixin.py:188} INFO - ✅ Inserted 280000/2964624 rows
[2026-08-15T21:16:31.494+0000] {logging_mixin.py:188} INFO - ✅ Inserted 285000/2964624 rows
[2026-08-15T21:16:31.743+0000] {logging_mixin.py:188} INFO - ✅ Inserted 290000/2964624 rows
[2026-08-15T21:16:31.943+0000] {logging_mixin.py:188} INFO - ✅ Inserted 295000/2964624 rows
[2026-08-15T21:16:32.110+0000] {logging_mixin.py:188} INFO - ✅ Inserted 300000/2964624 rows
[2026-08-15T21:16:32.276+0000] {logging_mixin.py:188} INFO - ✅ Inserted 305000/2964624 rows
[2026-08-15T21:16:32.480+0000] {logging_mixin.py:188} INFO - ✅ Inserted 310000/2964624 rows
[2026-08-15T21:16:32.709+0000] {logging_mixin.py:188} INFO - ✅ Inserted 315000/2964624 rows
[2026-08-15T21:16:32.878+0000] {logging_mixin.py:188} INFO - ✅ Inserted 320000/2964624 rows
[2026-08-15T21:16:33.213+0000] {logging_mixin.py:188} INFO - ✅ Inserted 325000/2964624 rows
[2026-08-15T21:16:33.599+0000] {logging_mixin.py:188} INFO - ✅ Inserted 330000/2964624 rows
[2026-08-15T21:16:33.986+0000] {logging_mixin.py:188} INFO - ✅ Inserted 335000/2964624 rows
[2026-08-15T21:16:34.422+0000] {logging_mixin.py:188} INFO - ✅ Inserted 340000/2964624 rows
[2026-08-15T21:16:34.775+0000] {logging_mixin.py:188} INFO - ✅ Inserted 345000/2964624 rows
[2026-08-15T21:16:34.983+0000] {logging_mixin.py:188} INFO - ✅ Inserted 350000/2964624 rows
[2026-08-15T21:16:35.230+0000] {logging_mixin.py:188} INFO - ✅ Inserted 355000/2964624 rows
[2026-08-15T21:16:35.528+0000] {logging_mixin.py:188} INFO - ✅ Inserted 360000/2964624 rows
[2026-08-15T21:16:35.702+0000] {logging_mixin.py:188} INFO - ✅ Inserted 365000/2964624 rows
[2026-08-15T21:16:36.037+0000] {logging_mixin.py:188} INFO - ✅ Inserted 370000/2964624 rows
[2026-08-15T21:16:36.802+0000] {logging_mixin.py:188} INFO - ✅ Inserted 375000/2964624 rows
[2026-08-15T21:16:37.374+0000] {logging_mixin.py:188} INFO - ✅ Inserted 380000/2964624 rows
[2026-08-15T21:16:37.821+0000] {logging_mixin.py:188} INFO - ✅ Inserted 385000/2964624 rows
[2026-08-15T21:16:38.254+0000] {logging_mixin.py:188} INFO - ✅ Inserted 390000/2964624 rows
[2026-08-15T21:16:38.856+0000] {logging_mixin.py:188} INFO - ✅ Inserted 395000/2964624 rows
[2026-08-15T21:16:39.198+0000] {logging_mixin.py:188} INFO - ✅ Inserted 400000/2964624 rows
[2026-08-15T21:16:39.374+0000] {logging_mixin.py:188} INFO - ✅ Inserted 405000/2964624 rows
[2026-08-15T21:16:39.800+0000] {logging_mixin.py:188} INFO - ✅ Inserted 410000/2964624 rows
[2026-08-15T21:16:40.212+0000] {logging_mixin.py:188} INFO - ✅ Inserted 415000/2964624 rows
[2026-08-15T21:16:40.473+0000] {logging_mixin.py:188} INFO - ✅ Inserted 420000/2964624 rows
[2026-08-15T21:16:40.741+0000] {logging_mixin.py:188} INFO - ✅ Inserted 425000/2964624 rows
[2026-08-15T21:16:41.120+0000] {logging_mixin.py:188} INFO - ✅ Inserted 430000/2964624 rows
[2026-08-15T21:16:41.489+0000] {logging_mixin.py:188} INFO - ✅ Inserted 435000/2964624 rows
[2026-08-15T21:16:41.756+0000] {logging_mixin.py:188} INFO - ✅ Inserted 440000/2964624 rows
[2026-08-15T21:16:42.134+0000] {logging_mixin.py:188} INFO - ✅ Inserted 445000/2964624 rows
[2026-08-15T21:16:42.435+0000] {logging_mixin.py:188} INFO - ✅ Inserted 450000/2964624 rows
[2026-08-15T21:16:42.667+0000] {logging_mixin.py:188} INFO - ✅ Inserted 455000/2964624 rows
[2026-08-15T21:16:43.047+0000] {logging_mixin.py:188} INFO - ✅ Inserted 460000/2964624 rows
[2026-08-15T21:16:43.400+0000] {logging_mixin.py:188} INFO - ✅ Inserted 465000/2964624 rows
[2026-08-15T21:16:43.912+0000] {logging_mixin.py:188} INFO - ✅ Inserted 470000/2964624 rows
[2026-08-15T21:16:44.560+0000] {logging_mixin.py:188} INFO - ✅ Inserted 475000/2964624 rows
[2026-08-15T21:16:45.227+0000] {logging_mixin.py:188} INFO - ✅ Inserted 480000/2964624 rows
[2026-08-15T21:16:45.465+0000] {logging_mixin.py:188} INFO - ✅ Inserted 485000/2964624 rows
[2026-08-15T21:16:45.629+0000] {logging_mixin.py:188} INFO - ✅ Inserted 490000/2964624 rows
[2026-08-15T21:16:45.809+0000] {logging_mixin.py:188} INFO - ✅ Inserted 495000/2964624 rows
[2026-08-15T21:16:45.953+0000] {logging_mixin.py:188} INFO - ✅ Inserted 500000/2964624 rows
[2026-08-15T21:16:46.134+0000] {logging_mixin.py:188} INFO - ✅ Inserted 505000/2964624 rows
[2026-08-15T21:16:46.396+0000] {logging_mixin.py:188} INFO - ✅ Inserted 510000/2964624 rows
[2026-08-15T21:16:46.616+0000] {logging_mixin.py:188} INFO - ✅ Inserted 515000/2964624 rows
[2026-08-15T21:16:46.889+0000] {logging_mixin.py:188} INFO - ✅ Inserted 520000/2964624 rows
[2026-08-15T21:16:47.135+0000] {logging_mixin.py:188} INFO - ✅ Inserted 525000/2964624 rows
[2026-08-15T21:16:47.311+0000] {logging_mixin.py:188} INFO - ✅ Inserted 530000/2964624 rows
[2026-08-15T21:16:47.546+0000] {logging_mixin.py:188} INFO - ✅ Inserted 535000/2964624 rows
[2026-08-15T21:16:47.851+0000] {logging_mixin.py:188} INFO - ✅ Inserted 540000/2964624 rows
[2026-08-15T21:16:48.317+0000] {logging_mixin.py:188} INFO - ✅ Inserted 545000/2964624 rows
[2026-08-15T21:16:48.644+0000] {logging_mixin.py:188} INFO - ✅ Inserted 550000/2964624 rows
[2026-08-15T21:16:48.906+0000] {logging_mixin.py:188} INFO - ✅ Inserted 555000/2964624 rows
