[2026-08-16T16:32:30.431+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-16T16:32:30.789+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-16T16:31:33.488109+00:00 [queued]>
[2026-08-16T16:32:30.812+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-16T16:31:33.488109+00:00 [queued]>
[2026-08-16T16:32:30.815+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-16T16:32:30.850+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_bronze> on 2026-08-16 16:31:33.488109+00:00
[2026-08-16T16:32:30.870+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62: DeprecationWarning: This process (pid=80) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2026-08-16T16:32:30.876+0000] {standard_task_runner.py:64} INFO - Started process 82 to run task
[2026-08-16T16:32:30.877+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_ingest', 'load_bronze', 'manual__2026-08-16T16:31:33.488109+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_ingest.py', '--cfg-path', '/tmp/tmprli1mru2']
[2026-08-16T16:32:30.888+0000] {standard_task_runner.py:91} INFO - Job 21: Subtask load_bronze
[2026-08-16T16:32:31.048+0000] {task_command.py:426} INFO - Running <TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-16T16:31:33.488109+00:00 [running]> on host ***-worker
[2026-08-16T16:32:31.339+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='aadya-anil-kumar' AIRFLOW_CTX_DAG_ID='nyc_taxi_ingest' AIRFLOW_CTX_TASK_ID='load_bronze' AIRFLOW_CTX_EXECUTION_DATE='2026-08-16T16:31:33.488109+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-16T16:31:33.488109+00:00'
[2026-08-16T16:32:31.342+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-16T16:33:28.266+0000] {logging_mixin.py:188} INFO - ✅ Inserted 5000/2964624 rows
[2026-08-16T16:33:28.418+0000] {logging_mixin.py:188} INFO - ✅ Inserted 10000/2964624 rows
[2026-08-16T16:33:28.529+0000] {logging_mixin.py:188} INFO - ✅ Inserted 15000/2964624 rows
[2026-08-16T16:33:28.650+0000] {logging_mixin.py:188} INFO - ✅ Inserted 20000/2964624 rows
[2026-08-16T16:33:28.784+0000] {logging_mixin.py:188} INFO - ✅ Inserted 25000/2964624 rows
[2026-08-16T16:33:28.933+0000] {logging_mixin.py:188} INFO - ✅ Inserted 30000/2964624 rows
[2026-08-16T16:33:29.058+0000] {logging_mixin.py:188} INFO - ✅ Inserted 35000/2964624 rows
[2026-08-16T16:33:29.199+0000] {logging_mixin.py:188} INFO - ✅ Inserted 40000/2964624 rows
[2026-08-16T16:33:29.291+0000] {logging_mixin.py:188} INFO - ✅ Inserted 45000/2964624 rows
[2026-08-16T16:33:29.522+0000] {logging_mixin.py:188} INFO - ✅ Inserted 50000/2964624 rows
[2026-08-16T16:33:29.722+0000] {logging_mixin.py:188} INFO - ✅ Inserted 55000/2964624 rows
[2026-08-16T16:33:29.887+0000] {logging_mixin.py:188} INFO - ✅ Inserted 60000/2964624 rows
[2026-08-16T16:33:30.030+0000] {logging_mixin.py:188} INFO - ✅ Inserted 65000/2964624 rows
[2026-08-16T16:33:30.174+0000] {logging_mixin.py:188} INFO - ✅ Inserted 70000/2964624 rows
[2026-08-16T16:33:30.307+0000] {logging_mixin.py:188} INFO - ✅ Inserted 75000/2964624 rows
[2026-08-16T16:33:30.487+0000] {logging_mixin.py:188} INFO - ✅ Inserted 80000/2964624 rows
[2026-08-16T16:33:30.622+0000] {logging_mixin.py:188} INFO - ✅ Inserted 85000/2964624 rows
[2026-08-16T16:33:30.737+0000] {logging_mixin.py:188} INFO - ✅ Inserted 90000/2964624 rows
[2026-08-16T16:33:30.809+0000] {logging_mixin.py:188} INFO - ✅ Inserted 95000/2964624 rows
[2026-08-16T16:33:30.902+0000] {logging_mixin.py:188} INFO - ✅ Inserted 100000/2964624 rows
[2026-08-16T16:33:31.028+0000] {logging_mixin.py:188} INFO - ✅ Inserted 105000/2964624 rows
[2026-08-16T16:33:31.175+0000] {logging_mixin.py:188} INFO - ✅ Inserted 110000/2964624 rows
[2026-08-16T16:33:31.246+0000] {logging_mixin.py:188} INFO - ✅ Inserted 115000/2964624 rows
[2026-08-16T16:33:31.327+0000] {logging_mixin.py:188} INFO - ✅ Inserted 120000/2964624 rows
[2026-08-16T16:33:31.416+0000] {logging_mixin.py:188} INFO - ✅ Inserted 125000/2964624 rows
[2026-08-16T16:33:31.506+0000] {logging_mixin.py:188} INFO - ✅ Inserted 130000/2964624 rows
[2026-08-16T16:33:31.657+0000] {logging_mixin.py:188} INFO - ✅ Inserted 135000/2964624 rows
[2026-08-16T16:33:31.838+0000] {logging_mixin.py:188} INFO - ✅ Inserted 140000/2964624 rows
[2026-08-16T16:33:32.131+0000] {logging_mixin.py:188} INFO - ✅ Inserted 145000/2964624 rows
[2026-08-16T16:33:32.537+0000] {logging_mixin.py:188} INFO - ✅ Inserted 150000/2964624 rows
[2026-08-16T16:33:32.857+0000] {logging_mixin.py:188} INFO - ✅ Inserted 155000/2964624 rows
[2026-08-16T16:33:32.996+0000] {logging_mixin.py:188} INFO - ✅ Inserted 160000/2964624 rows
[2026-08-16T16:33:33.164+0000] {logging_mixin.py:188} INFO - ✅ Inserted 165000/2964624 rows
[2026-08-16T16:33:33.346+0000] {logging_mixin.py:188} INFO - ✅ Inserted 170000/2964624 rows
[2026-08-16T16:33:33.484+0000] {logging_mixin.py:188} INFO - ✅ Inserted 175000/2964624 rows
[2026-08-16T16:33:33.570+0000] {logging_mixin.py:188} INFO - ✅ Inserted 180000/2964624 rows
[2026-08-16T16:33:33.661+0000] {logging_mixin.py:188} INFO - ✅ Inserted 185000/2964624 rows
[2026-08-16T16:33:33.741+0000] {logging_mixin.py:188} INFO - ✅ Inserted 190000/2964624 rows
[2026-08-16T16:33:33.839+0000] {logging_mixin.py:188} INFO - ✅ Inserted 195000/2964624 rows
[2026-08-16T16:33:33.948+0000] {logging_mixin.py:188} INFO - ✅ Inserted 200000/2964624 rows
[2026-08-16T16:33:34.040+0000] {logging_mixin.py:188} INFO - ✅ Inserted 205000/2964624 rows
[2026-08-16T16:33:34.154+0000] {logging_mixin.py:188} INFO - ✅ Inserted 210000/2964624 rows
[2026-08-16T16:33:34.248+0000] {logging_mixin.py:188} INFO - ✅ Inserted 215000/2964624 rows
[2026-08-16T16:33:34.387+0000] {logging_mixin.py:188} INFO - ✅ Inserted 220000/2964624 rows
[2026-08-16T16:33:34.487+0000] {logging_mixin.py:188} INFO - ✅ Inserted 225000/2964624 rows
[2026-08-16T16:33:34.558+0000] {logging_mixin.py:188} INFO - ✅ Inserted 230000/2964624 rows
[2026-08-16T16:33:34.638+0000] {logging_mixin.py:188} INFO - ✅ Inserted 235000/2964624 rows
[2026-08-16T16:33:34.721+0000] {logging_mixin.py:188} INFO - ✅ Inserted 240000/2964624 rows
[2026-08-16T16:33:34.812+0000] {logging_mixin.py:188} INFO - ✅ Inserted 245000/2964624 rows
