[2026-08-16T17:39:46.283+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-16T17:39:50.467+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-16T17:38:23.667785+00:00 [queued]>
[2026-08-16T17:39:50.483+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-16T17:38:23.667785+00:00 [queued]>
[2026-08-16T17:39:50.485+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-08-16T17:39:50.518+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_bronze> on 2026-08-16 17:38:23.667785+00:00
[2026-08-16T17:39:50.538+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62: DeprecationWarning: This process (pid=336) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2026-08-16T17:39:50.545+0000] {standard_task_runner.py:64} INFO - Started process 338 to run task
[2026-08-16T17:39:50.546+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nyc_taxi_ingest', 'load_bronze', 'manual__2026-08-16T17:38:23.667785+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/nyc_taxi_ingest.py', '--cfg-path', '/tmp/tmpx4qoxkjk']
[2026-08-16T17:39:50.552+0000] {standard_task_runner.py:91} INFO - Job 38: Subtask load_bronze
[2026-08-16T17:39:50.721+0000] {task_command.py:426} INFO - Running <TaskInstance: nyc_taxi_ingest.load_bronze manual__2026-08-16T17:38:23.667785+00:00 [running]> on host ***-worker
[2026-08-16T17:39:51.019+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='aadya-anil-kumar' AIRFLOW_CTX_DAG_ID='nyc_taxi_ingest' AIRFLOW_CTX_TASK_ID='load_bronze' AIRFLOW_CTX_EXECUTION_DATE='2026-08-16T17:38:23.667785+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-16T17:38:23.667785+00:00'
[2026-08-16T17:39:51.022+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-16T17:41:15.403+0000] {logging_mixin.py:188} INFO - ✅ Inserted 5000/2964624 rows
[2026-08-16T17:41:15.722+0000] {logging_mixin.py:188} INFO - ✅ Inserted 10000/2964624 rows
[2026-08-16T17:41:16.020+0000] {logging_mixin.py:188} INFO - ✅ Inserted 15000/2964624 rows
[2026-08-16T17:41:16.244+0000] {logging_mixin.py:188} INFO - ✅ Inserted 20000/2964624 rows
[2026-08-16T17:41:16.688+0000] {logging_mixin.py:188} INFO - ✅ Inserted 25000/2964624 rows
[2026-08-16T17:41:17.181+0000] {logging_mixin.py:188} INFO - ✅ Inserted 30000/2964624 rows
